Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,objectid,id,cod_prov,nom_cant,nom_prov,canton,codigo,poblacion,tipo_ofi,ley_decret,tipo_limit,fecha,ubic_geog,origen,entity,hoja_50,categoria,cod_ign,tip_limite,decreto,localiza,fech_decre,area_km2,perime_km,cod_canton,perime_m,area_m2
,,,,,,-1,0,-1,,,1.0,0.0,6.0,Corredores,Puntarenas,CORREDORES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,623.688849792000042,165.996482143999998,610.0,165996.482144000008702,623688849.792000055313110
,,,,,,-1,0,-1,,,4.0,0.0,6.0,Golfito,Puntarenas,GOLFITO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1749.472954549999940,574.613022397000009,607.0,574613.022396999993362,1749472954.549999952316284
,,,,,,-1,0,-1,,,7.0,0.0,6.0,Coto Brus,Puntarenas,COTO BRUS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,944.272471202000020,197.178955655000010,608.0,197178.955654999997932,944272471.202000021934509
,,,,,,-1,0,-1,,,8.0,0.0,6.0,Osa,Puntarenas,OSA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1922.594821220000085,447.641803505999974,605.0,447641.803506000025664,1922594821.220000028610229
,,,,,,-1,0,-1,,,15.0,0.0,6.0,Buenos Aires,Puntarenas,BUENOS AIRES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,2382.939652170000045,294.434199873000011,603.0,294434.199872999975923,2382939652.170000076293945
,,,,,,-1,0,-1,,,24.0,0.0,1.0,PÃƒÂ©rez ZeledÃƒÂ³n,San JosÃƒÂ©,PEREZ ZELEDON,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1901.082201519999899,268.143710224000017,119.0,268143.710223999980371,1901082201.519999980926514
,,,,,,-1,0,-1,,,35.0,0.0,6.0,Quepos,Puntarenas,QUEPOS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,558.836096433999955,174.037884864000006,606.0,174037.884863999992376,558836096.434000015258789
,,,,,,-1,0,-1,,,41.0,0.0,7.0,Talamanca,LimÃƒÂ³n,TALAMANCA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,2814.818387180000173,433.690933749000010,704.0,433690.933749000017997,2814818387.179999828338623
,,,,,,-1,0,-1,,,42.0,0.0,6.0,Parrita,Puntarenas,PARRITA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,479.370899273000020,163.085487934000014,609.0,163085.487934000004316,479370899.273000001907349
,,,,,,-1,0,-1,,,43.0,0.0,1.0,TarrazÃƒÂº,San JosÃƒÂ©,TARRAZU,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,290.278718038000022,113.021548499999994,105.0,113021.548500000004424,290278718.037999987602234
,,,,,,-1,0,-1,,,47.0,0.0,1.0,Dota,San JosÃƒÂ©,DOTA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,405.432597754000028,122.134944527000002,117.0,122134.944526999999653,405432597.754000008106232
,,,,,,-1,0,-1,,,49.0,0.0,6.0,Garabito,Puntarenas,GARABITO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,315.030230271999983,151.890285145999997,611.0,151890.285146000009263,315030230.272000014781952
,,,,,,-1,0,-1,,,50.0,0.0,1.0,LeÃƒÂ³n CortÃƒÂ©s Castro,San JosÃƒÂ©,LEON CORTES CASTRO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,121.894572775000000,71.871044962300004,120.0,71871.044962300002226,121894572.775000005960464
,,,,,,-1,0,-1,,,57.0,0.0,1.0,Puriscal,San JosÃƒÂ©,PURISCAL,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,555.022673596000004,169.142298398000008,104.0,169142.298398000013549,555022673.595999956130981
,,,,,,-1,0,-1,,,59.0,0.0,1.0,AserrÃƒÂ­,San JosÃƒÂ©,ASERRI,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,168.259130709000004,116.645924844000007,106.0,116645.924843999993755,168259130.708999991416931
,,,,,,-1,0,-1,,,62.0,0.0,1.0,Desamparados,San JosÃƒÂ©,DESAMPARADOS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,118.958032359000001,133.306903836000004,103.0,133306.903836000012234,118958032.358999997377396
,,,,,,-1,0,-1,,,63.0,0.0,1.0,Acosta,San JosÃƒÂ©,ACOSTA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,342.561448675000008,110.367182458000002,112.0,110367.182457999995677,342561448.675000011920929
,,,,,,-1,0,-1,,,66.0,0.0,1.0,Turrubares,San JosÃƒÂ©,TURRUBARES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,416.248033647999989,148.303056483000006,116.0,148303.056482999993023,416248033.648000001907349
,,,,,,-1,0,-1,,,67.0,0.0,3.0,El Guarco,Cartago,EL GUARCO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,171.996797162000007,110.625594458999998,308.0,110625.594458999999915,171996797.162000000476837
,,,,,,-1,0,-1,,,70.0,0.0,3.0,Cartago,Cartago,CARTAGO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,278.652459270999998,177.610086475999992,301.0,177610.086475999996765,278652459.271000027656555
,,,,,,-1,0,-1,,,71.0,0.0,6.0,Puntarenas,Puntarenas,PUNTARENAS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1837.442729399999962,715.917982210999980,601.0,715917.982211000053212,1837442729.400000095367432
,,,,,,-1,0,-1,,,73.0,0.0,3.0,ParaÃƒÂ­so,Cartago,PARAISO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,477.002997619999974,136.652277480000009,302.0,136652.277479999989737,477002997.620000004768372
,,,,,,-1,0,-1,,,83.0,0.0,3.0,JimÃƒÂ©nez,Cartago,JIMENEZ,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,250.072757959999990,101.128594487000001,304.0,101128.594486999994842,250072757.960000008344650
,,,,,,-1,0,-1,,,93.0,0.0,3.0,Turrialba,Cartago,TURRIALBA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1589.246565910000072,247.910654622999999,305.0,247910.654623000009451,1589246565.910000085830688
,,,,,,-1,0,-1,,,96.0,0.0,1.0,Mora,San JosÃƒÂ©,MORA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,163.466545523000008,99.613207883000001,107.0,99613.207882999995491,163466545.523000001907349
,,,,,,-1,0,-1,,,109.0,0.0,3.0,Oreamuno,Cartago,OREAMUNO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,202.898728221999988,101.851951799000005,307.0,101851.951799000002211,202898728.222000002861023
,,,,,,-1,0,-1,,,113.0,0.0,1.0,Alajuelita,San JosÃƒÂ©,ALAJUELITA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,21.380832529199999,27.981793999600001,110.0,27981.793999599998642,21380832.529199998825788
,,,,,,-1,0,-1,,,114.0,0.0,7.0,LimÃƒÂ³n,LimÃƒÂ³n,LIMON,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1769.312513780000018,306.063235753000015,701.0,306063.235753000015393,1769312513.779999971389771
,,,,,,-1,0,-1,,,116.0,0.0,3.0,La UniÃƒÂ³n,Cartago,LA UNION,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,44.194290955000000,36.959243728099999,303.0,36959.243728100002045,44194290.954999998211861
,,,,,,-1,0,-1,,,128.0,0.0,1.0,Curridabat,San JosÃƒÂ©,CURRIDABAT,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,16.062604136899999,17.481359513699999,118.0,17481.359513700001116,16062604.136900000274181
,,,,,,-1,0,-1,,,129.0,0.0,2.0,Orotina,Alajuela,OROTINA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,145.110712518000014,89.538917615900004,209.0,89538.917615900005330,145110712.518000006675720
,,,,,,-1,0,-1,,,135.0,0.0,1.0,San JosÃƒÂ©,San JosÃƒÂ©,SAN JOSE,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,44.618373156300002,49.751126523200000,101.0,49751.126523200000520,44618373.156300000846386
,,,,,,-1,0,-1,,,137.0,0.0,1.0,EscazÃƒÂº,San JosÃƒÂ©,ESCAZU,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,34.534795505600002,34.968819525999997,102.0,34968.819525999999314,34534795.505599997937679
,,,,,,-1,0,-1,,,139.0,0.0,3.0,Alvarado,Cartago,ALVARADO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,79.183944936800003,54.093093505799999,306.0,54093.093505800003186,79183944.936800003051758
,,,,,,-1,0,-1,,,143.0,0.0,1.0,Santa Ana,San JosÃƒÂ©,SANTA ANA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,61.417554777699998,40.476772110699997,109.0,40476.772110700003395,61417554.777699999511242
,,,,,,-1,0,-1,,,147.0,0.0,5.0,Nandayure,Guanacaste,NANDAYURE,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,567.672128175000012,225.638245595000001,509.0,225638.245594999985769,567672128.174999952316284
,,,,,,-1,0,-1,,,168.0,0.0,1.0,Montes de Oca,San JosÃƒÂ©,MONTES DE OCA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,15.776199386800000,34.745234676499997,115.0,34745.234676499996567,15776199.386800000444055
,,,,,,-1,0,-1,,,169.0,0.0,1.0,Goicoechea,San JosÃƒÂ©,GOICOECHEA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,31.687759296799999,58.684680581599999,108.0,58684.680581599997822,31687759.296799998730421
,,,,,,-1,0,-1,,,178.0,0.0,1.0,TibÃƒÂ¡s,San JosÃƒÂ©,TIBAS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,8.273742834080000,20.395220043799998,113.0,20395.220043799999985,8273742.834080000407994
,,,,,,-1,0,-1,,,187.0,0.0,2.0,San Mateo,Alajuela,SAN MATEO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,125.033832103999998,86.295352093899993,204.0,86295.352093900000909,125033832.104000002145767
,,,,,,-1,0,-1,,,193.0,0.0,5.0,Nicoya,Guanacaste,NICOYA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1334.450652259999970,285.937970645000007,502.0,285937.970644999993965,1334450652.259999990463257
,,,,,,-1,0,-1,,,196.0,0.0,2.0,Atenas,Alajuela,ATENAS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,126.307342316000003,56.050403407099999,205.0,56050.403407099998731,126307342.315999999642372
,,,,,,-1,0,-1,,,197.0,0.0,2.0,Alajuela,Alajuela,ALAJUELA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,391.620659226999976,168.832064174999999,201.0,168832.064175000006799,391620659.226999998092651
,,,,,,-1,0,-1,,,207.0,0.0,1.0,Moravia,San JosÃƒÂ©,MORAVIA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,28.824479702400001,52.575987087400001,114.0,52575.987087399997108,28824479.702399998903275
,,,,,,-1,0,-1,,,208.0,0.0,6.0,Esparza,Puntarenas,ESPARZA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,217.270055074999988,119.326488804999997,602.0,119326.488805000000866,217270055.074999988079071
,,,,,,-1,0,-1,,,211.0,0.0,1.0,VÃƒÂ¡zquez de Coronado,San JosÃƒÂ©,VAZQUEZ DE CORONADO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,223.925605558999990,103.023626969000006,111.0,103023.626969000004465,223925605.558999985456467
,,,,,,-1,0,-1,,,213.0,0.0,4.0,Santo Domingo,Heredia,SANTO DOMINGO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,25.397087680399999,34.036610312299999,403.0,34036.610312299999350,25397087.680399999022484
,,,,,,-1,0,-1,,,219.0,0.0,4.0,BelÃƒÂ©n,Heredia,BELEN,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,12.382715837299999,18.755484047600000,407.0,18755.484047599999030,12382715.837300000712276
,,,,,,-1,0,-1,,,221.0,0.0,4.0,Heredia,Heredia,HEREDIA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,283.071477277999975,133.417414366999992,401.0,133417.414366999990307,283071477.277999997138977
,,,,,,-1,0,-1,,,227.0,0.0,4.0,San Pablo,Heredia,SAN PABLO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,8.332933579250000,16.702363858500000,409.0,16702.363858500000788,8332933.579250000417233
,,,,,,-1,0,-1,,,228.0,0.0,2.0,San RamÃƒÂ³n,Alajuela,SAN RAMON,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1021.734941869999943,265.287449689000027,202.0,265287.449688999971841,1021734941.870000004768372
,,,,,,-1,0,-1,,,239.0,0.0,5.0,Hojancha,Guanacaste,HOJANCHA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,262.858672811000019,122.054351847999996,511.0,122054.351848000005702,262858672.810999989509583
,,,,,,-1,0,-1,,,240.0,0.0,4.0,Flores,Heredia,FLORES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,6.747947727130000,14.388095435000000,408.0,14388.095434999999270,6747947.727129999548197
,,,,,,-1,0,-1,,,247.0,0.0,4.0,San Rafael,Heredia,SAN RAFAEL,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,48.364506005499997,39.653541093800001,405.0,39653.541093799998634,48364506.005500003695488
,,,,,,-1,0,-1,,,262.0,0.0,4.0,Barva,Heredia,BARVA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,56.003000361900000,40.272400864100000,402.0,40272.400864099996397,56003000.361900001764297
,,,,,,-1,0,-1,,,264.0,0.0,4.0,San Isidro,Heredia,SAN ISIDRO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,26.669188483100001,29.129663708700001,406.0,29129.663708700001735,26669188.483100000768900
,,,,,,-1,0,-1,,,270.0,0.0,4.0,Santa BÃƒÂ¡rbara,Heredia,SANTA BARBARA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,52.105553872700000,41.484758825999997,404.0,41484.758825999997498,52105553.872699998319149
,,,,,,-1,0,-1,,,271.0,0.0,2.0,Palmares,Alajuela,PALMARES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,38.936073843300001,29.093989883100001,207.0,29093.989883099999133,38936073.843299999833107
,,,,,,-1,0,-1,,,284.0,0.0,2.0,PoÃƒÂ¡s,Alajuela,POAS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,74.496011517400007,62.503196926100003,208.0,62503.196926099997654,74496011.517399996519089
,,,,,,-1,0,-1,,,289.0,0.0,2.0,Grecia,Alajuela,GRECIA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,142.454803370000008,72.032860822499998,203.0,72032.860822500006179,142454803.370000004768372
,,,,,,-1,0,-1,,,298.0,0.0,2.0,Naranjo,Alajuela,NARANJO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,127.014627227999995,66.696559516799994,206.0,66696.559516799999983,127014627.228000000119209
,,,,,,-1,0,-1,,,310.0,0.0,6.0,Montes de Oro,Puntarenas,MONTES DE ORO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,247.589901526000006,111.869745252000001,604.0,111869.745251999993343,247589901.525999993085861
,,,,,,-1,0,-1,,,313.0,0.0,2.0,Valverde Vega,Alajuela,VALVERDE VEGA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,136.764351276000014,86.298920178100005,212.0,86298.920178100001067,136764351.275999993085861
,,,,,,-1,0,-1,,,317.0,0.0,7.0,Siquirres,LimÃƒÂ³n,SIQUIRRES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,855.096914258999959,191.549382239000010,703.0,191549.382238999998663,855096914.258999943733215
,,,,,,-1,0,-1,,,324.0,0.0,7.0,Matina,LimÃƒÂ³n,MATINA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,770.235775203000003,171.973243448000005,705.0,171973.243447999993805,770235775.202999949455261
,,,,,,-1,0,-1,,,332.0,0.0,5.0,Santa Cruz,Guanacaste,SANTA CRUZ,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1320.807552129999976,294.186242971000013,503.0,294186.242971000028774,1320807552.130000114440918
,,,,,,-1,0,-1,,,360.0,0.0,2.0,Zarcero,Alajuela,ZARCERO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,157.355931340000012,70.921596874200006,211.0,70921.596874199996819,157355931.340000003576279
,,,,,,-1,0,-1,,,367.0,0.0,7.0,GuÃƒÂ¡cimo,LimÃƒÂ³n,GUACIMO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,581.049732057000028,155.736103816999986,706.0,155736.103816999995615,581049732.057000041007996
,,,,,,-1,0,-1,,,378.0,0.0,5.0,Abangares,Guanacaste,ABANGARES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,646.337094845000024,175.433770607000014,507.0,175433.770607000013115,646337094.845000028610229
,,,,,,-1,0,-1,,,383.0,0.0,7.0,PococÃƒÂ­,LimÃƒÂ³n,POCOCI,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,2408.235537590000149,356.300181217999977,702.0,356300.181218000012450,2408235537.590000152587891
,,,,,,-1,0,-1,,,387.0,0.0,2.0,San Carlos,Alajuela,SAN CARLOS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,3352.316345650000130,464.514243518000001,210.0,464514.243518000002950,3352316345.650000095367432
,,,,,,-1,0,-1,,,392.0,0.0,5.0,CaÃƒÂ±as,Guanacaste,CAÑAS,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,683.877539965999972,193.168604509000005,506.0,193168.604508999997051,683877539.965999960899353
,,,,,,-1,0,-1,,,409.0,0.0,5.0,TilarÃƒÂ¡n,Guanacaste,TILARAN,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,669.234461141999986,133.995643642999994,508.0,133995.643642999988515,669234461.141999959945679
,,,,,,-1,0,-1,,,413.0,0.0,4.0,SarapiquÃƒÂ­,Heredia,SARAPIQUI,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,2144.371548609999991,251.012195494999986,410.0,251012.195494999992661,2144371548.609999895095825
,,,,,,-1,0,-1,,,415.0,0.0,5.0,Carrillo,Guanacaste,CARRILLO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,598.686575858999959,213.102451824000013,505.0,213102.451823999988846,598686575.858999967575073
,,,,,,-1,0,-1,,,426.0,0.0,2.0,RÃƒÂ­o Cuarto,Alajuela,RIO CUARTO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,254.891715242999993,101.994066841000006,216.0,101994.066841000007116,254891715.243000000715256
,,,,,,-1,0,-1,,,433.0,0.0,5.0,Bagaces,Guanacaste,BAGACES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1277.925778139999920,224.245298112000000,504.0,224245.298111999989487,1277925778.140000104904175
,,,,,,-1,0,-1,,,437.0,0.0,2.0,Guatuso,Alajuela,GUATUSO,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,752.842571689000010,160.754914796999998,215.0,160754.914797000004910,752842571.689000010490417
,,,,,,-1,0,-1,,,447.0,0.0,2.0,Los Chiles,Alajuela,LOS CHILES,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1332.712812660000054,250.930053184999991,214.0,250930.053184999997029,1332712812.660000085830688
,,,,,,-1,0,-1,,,448.0,0.0,5.0,Liberia,Guanacaste,LIBERIA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1442.168868190000012,231.003819306999986,501.0,231003.819306999997934,1442168868.190000057220459
,,,,,,-1,0,-1,,,449.0,0.0,2.0,Upala,Alajuela,UPALA,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1592.673970820000022,205.854789065000006,213.0,205854.789064999989932,1592673970.819999933242798
,,,,,,-1,0,-1,,,463.0,0.0,5.0,La Cruz,Guanacaste,LA CRUZ,,0.0,,,,,,DTA,Polygon,,LIMITE CANTONAL,160104,,,,,1386.041811499999994,324.521727839999983,510.0,324521.727840000006836,1386041811.500000000000000
